region,category,parameter,mode,powertrain,year,unit,value,Log_price,Log_range_km,Log_charging_time,Log_sales_volume,Log_co2_saved,Log_battery_capacity,Log_energy_efficiency,Log_weight_kg,Log_number_of_seats,Log_motor_power,Log_distance_traveled
Australia,Historical,EV stock share,Cars,EV,2011,percent,0.000390000001062,0.12600147374343282,-2.814454597392451,0.25975831118066384,0.7031557329233303,-0.6465425485518879,-0.5039569071018388,0.9838728175537776,-0.32435506266638436,0.18555342758535776,0.421212779198739,0.1876586461149
Australia,Historical,EV sales share,Cars,EV,2011,percent,0.00650000013411,0.8300504378436551,-1.8174246600277133,-0.7753680905884484,-1.8296093255551409,-2.4197615932974603,0.734860350438926,1.7726290017551356,0.22941102446123504,1.4314483033506302,0.12694582836540555,0.16743621981559514
Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49.0,0.37119346501120526,-1.865386274945119,-0.4964310218358607,0.6416495072570622,-0.5026702531829147,-1.271383240716456,0.4661526174170339,-1.0319437241055847,0.9901322523332338,1.4751910221301516,0.18053632665937458
Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49.0,0.0718247835965315,1.0990606441297357,1.2403962407569116,-0.7472823043313235,0.26255414515066755,-0.07795386725752826,-1.3346752746428068,-0.9554729062381875,-0.1706687284743508,1.4751910221301516,0.352468103695215
Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220.0,1.22493906762926,-1.2709700966307098,1.4102163968809753,0.1141281851747955,-0.589564805403375,0.9996771549260567,1.4704607801994898,-0.9455917284537146,0.17288576320894405,1.5854313332782894,-3.3314716234041417
Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170.0,0.16861179333238946,1.3623317510284996,0.7381506761779258,1.4685515955163904,1.6634810531329938,0.6997618653034253,-0.8078526181042829,-0.13075841263214658,0.4681661504009069,-0.23544755834651246,0.18502243057602671
Australia,Historical,EV sales share,Cars,EV,2012,percent,0.029999999329448,0.15589949782066512,-1.649676308822098,-0.3951310968700919,0.49869315187299895,-0.4961109723833112,1.1818492127592826,1.8514994980246284,-1.7489744080277558,-0.1706687284743508,0.15372241093303074,-0.8234575783528137
Australia,Historical,EV stock share,Cars,EV,2012,percent,0.002400000113994,1.6536258963811892,0.10705231113828922,1.16685726403675,0.1741587663498906,0.0907625351423779,0.13777609049366074,0.4841468248237899,-1.4714109362749581,-0.994270131369175,-2.4054043142137616,0.6782743983554572
Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80.0,0.13753479478367284,1.090168848678868,0.9181623715002114,0.21900319196713852,0.6888100636329924,1.061841581330033,0.19877216593322444,-1.4493268264285881,1.4314483033506302,0.952183353109304,-0.6189589004298708
Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80.0,0.047429408222874024,-0.023068345305983153,-0.07963249192784241,0.5157324576137161,0.4149097381910922,-0.07795386725752826,-0.08422946067249545,-2.432388814226014,0.10219359182250125,-0.4333762432770901,1.2305594467805845
