region,category,parameter,mode,powertrain,year,unit,value,Log_price,Log_range_km,Log_charging_time,Log_sales_volume,Log_co2_saved,Log_battery_capacity,Log_energy_efficiency,Log_weight_kg,Log_number_of_seats,Log_motor_power,Log_distance_traveled
Australia,Historical,EV stock share,Cars,EV,2011,percent,0.000390000001062,0.5156624051971228,0.11100999419884539,0.7433463248567345,0.8355732240415334,0.5189872535284578,0.4287232200514879,0.7046221210143947,0.4929313680305816,0.6526172783642754,0.7235459921560099,0.7931970714767695
Australia,Historical,EV sales share,Cars,EV,2011,percent,0.00650000013411,0.6494448531749644,0.3033456950180493,0.5271433340384137,0.37479443067049867,0.17102115093939985,0.6313109757916986,0.8381776896369718,0.5870338122987038,1.0,0.6567518524946059,0.7894981987099001
Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49.0,0.5622534613437455,0.294093484555902,0.5854038792349574,0.8243835701285347,0.5472199087316768,0.30322353260641877,0.6169595237484625,0.3726895834113444,0.8769514395748776,0.9627830854112247,0.7918943319794871
Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49.0,0.5053678225746605,0.8659609424464978,0.9481685117142208,0.5716991286419613,0.6973830554016919,0.49838886222367607,0.31203564748247314,0.38568440386672886,0.5532947556651124,0.9627830854112247,0.8233422778602066
Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220.0,0.7244810655197256,0.40876150800217403,0.9836382143442638,0.7284131059700543,0.5301682315787771,0.6746173163974492,0.7870132747545716,0.38736352977093524,0.6490852566717202,0.9878059658886036,0.14951490770801712
Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170.0,0.5237591614660762,0.9167482166828755,0.8432663538698947,0.9748195314857302,0.9722927331582233,0.6255712080493623,0.40123951157451965,0.5258295869605965,0.7314158822675507,0.5744940440120128,0.7927148827561874
Australia,Historical,EV sales share,Cars,EV,2012,percent,0.029999999329448,0.5213435879765971,0.33570580325680033,0.6065620167434198,0.7983759241693944,0.54850706351517,0.7044084967594926,0.8515323791947881,0.25084329931997207,0.5532947556651124,0.6628297310691864,0.6082543642333635
Australia,Historical,EV stock share,Cars,EV,2012,percent,0.002400000113994,0.805939566690288,0.6745939525558005,0.9328086999255883,0.7393343000486867,0.6636716776848678,0.5336678734908449,0.6200063798622503,0.29801014781184243,0.3236566839097653,0.0819467355217185,0.8829353263281301
Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80.0,0.5178539515252254,0.8642456381757919,0.8808647252808052,0.7474927197395149,0.7810290161753061,0.6847832642443976,0.5716855227938592,0.30176293940442367,1.0,0.8440682681691429,0.6456591038741268
Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80.0,0.5007322457849153,0.6494925521761765,0.6724590336400451,0.8014758369358015,0.7272804231719144,0.49838886222367607,0.5237664776953902,0.1347094883730371,0.6293747342414246,0.5295672311748523,0.9839534779056791
