region,category,parameter,mode,powertrain,year,unit,value,price,range_km,charging_time,sales_volume,co2_saved,battery_capacity,energy_efficiency,weight_kg,number_of_seats,motor_power,distance_traveled
Australia,Historical,EV stock share,Cars,EV,2011,percent,0.000390000001062,36211.0,122.0,6.77,3521.0,171.82,,516.39,,,204.0,
Australia,Historical,EV sales share,Cars,EV,2011,percent,0.00650000013411,64874.0,145.0,4.18,730.0,42.34,74.0,,1802.0,7.0,224.0,62975.0
Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49.0,58493.0,142.0,4.76,3389.0,192.5,34.0,239.44,1369.0,6.0,284.0,77778.0
Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49.0,,517.0,10.69,1430.0,295.72,54.0,104.45,1392.0,4.0,284.0,55552.0
Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220.0,70920.0,184.0,11.57,2442.0,179.73,82.0,445.65,1395.0,7.0,294.0,5905.0
Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170.0,35735.0,599.0,8.46,4447.0,1065.5,73.0,121.87,1666.0,5.0,166.0,
Australia,Historical,EV sales share,Cars,EV,2012,percent,0.029999999329448,47081.0,156.0,4.99,3101.0,193.5,88.0,564.1,1171.0,4.0,,27162.0
Australia,Historical,EV stock share,Cars,EV,2012,percent,0.002400000113994,78123.0,463.0,10.33,,307.62,33.0,71.27,1244.0,3.0,84.0,67732.0
Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80.0,34869.0,515.0,9.2,,213.62,84.0,,1250.0,7.0,241.0,30761.0
Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80.0,48828.0,317.0,5.78,3134.0,397.39,54.0,170.35,1009.0,5.0,156.0,94784.0
Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100.0,31887.0,288.0,,870.0,100.22,66.0,229.17,1075.0,5.0,169.0,92882.0
Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180.0,48837.0,224.0,5.66,330.0,29.57,42.0,,2294.0,3.0,165.0,66440.0
Australia,Historical,EV stock share,Cars,EV,2013,percent,0.004600000102073,37193.0,370.0,,2814.0,,28.0,75.68,1374.0,3.0,82.0,93075.0
Australia,Historical,EV sales share,Cars,EV,2013,percent,0.034000001847744,77564.0,339.0,5.98,2548.0,345.51,41.0,120.94,2288.0,6.0,285.0,38683.0
Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190.0,57706.0,441.0,5.44,3043.0,536.79,90.0,204.08,1522.0,2.0,133.0,
Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410.0,54785.0,454.0,2.9,2864.0,,,,,5.0,122.0,39476.0
Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780.0,70891.0,135.0,1.58,2372.0,128.09,71.0,525.93,1262.0,7.0,,30289.0
Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370.0,64191.0,159.0,10.1,,127.84,61.0,383.65,2221.0,4.0,112.0,22130.0
Australia,Historical,EV sales share,Cars,EV,2014,percent,0.159999996423721,,169.0,5.33,4450.0,300.82,,573.96,,3.0,233.0,64675.0
Australia,Historical,EV stock share,Cars,EV,2014,percent,0.014000000432134,45361.0,122.0,5.24,3831.0,186.95,83.0,680.33,2490.0,3.0,262.0,85495.0
Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,1100.0,50913.0,545.0,11.77,2016.0,439.49,79.0,144.95,1629.0,,278.0,32812.0
Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950.0,,,5.65,4694.0,659.04,93.0,,1175.0,6.0,171.0,78075.0
Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000.0,41715.0,193.0,4.47,3253.0,251.13,,,1884.0,2.0,,16217.0
Australia,Historical,EV stock,Cars,PHEV,2015,Vehicles,2100.0,37360.0,,,1989.0,112.18,72.0,,2192.0,2.0,93.0,99033.0
Australia,Historical,EV stock share,Cars,EV,2015,percent,0.027000000700355,48253.0,107.0,5.37,4876.0,208.69,30.0,280.37,1567.0,5.0,159.0,51813.0
Australia,Historical,EV sales share,Cars,EV,2015,percent,0.200000002980232,44440.0,344.0,11.92,3618.0,,77.0,223.84,1517.0,6.0,269.0,
Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760.0,57685.0,491.0,8.16,,,49.0,,1140.0,3.0,230.0,25518.0
Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,1500.0,,348.0,8.72,524.0,72.94,,,1372.0,3.0,185.0,92281.0
Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200.0,44777.0,369.0,11.21,,,91.0,246.61,1960.0,,134.0,92966.0
Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670.0,,240.0,,3522.0,338.11,32.0,133.33,1869.0,5.0,,6276.0
Australia,Historical,EV sales share,Cars,EV,2016,percent,0.150000005960464,49278.0,330.0,,306.0,40.39,87.0,263.64,1343.0,3.0,159.0,31821.0
Australia,Historical,EV stock share,Cars,EV,2016,percent,0.037000000476837,41226.0,515.0,,4259.0,877.35,,81.55,1546.0,7.0,147.0,50868.0
Australia,Historical,EV stock,Cars,PHEV,2016,Vehicles,2800.0,62894.0,321.0,6.5,,364.01,80.0,249.22,,5.0,,83948.0
Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700.0,35728.0,437.0,10.21,,703.57,29.0,,1431.0,7.0,255.0,25427.0
Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100.0,71586.0,295.0,5.45,4559.0,537.96,75.0,254.24,1192.0,2.0,171.0,30167.0
Australia,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900.0,47182.0,,3.58,3493.0,500.2,,173.18,1153.0,6.0,131.0,14346.0
Australia,Historical,EV stock share,Cars,EV,2017,percent,0.052000001072884,,110.0,,3448.0,151.71,91.0,827.27,,6.0,251.0,8549.0
Australia,Historical,EV sales share,Cars,EV,2017,percent,0.259999990463257,,591.0,,1808.0,427.41,61.0,,2284.0,5.0,180.0,86308.0
Australia,Historical,EV charging points,EV,Publicly available fast,2017,charging points,40.0,,536.0,4.61,,457.74,88.0,164.18,1615.0,3.0,108.0,11657.0
Australia,Historical,EV charging points,EV,Publicly available slow,2017,charging points,440.0,46786.0,386.0,8.21,504.0,77.82,,150.26,1164.0,2.0,248.0,
Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200.0,,476.0,11.21,4933.0,939.24,,115.55,,2.0,268.0,
Australia,Historical,EV stock,Cars,BEV,2017,Vehicles,3400.0,68928.0,154.0,6.99,3586.0,220.9,34.0,220.78,1148.0,3.0,81.0,64177.0
Australia,Historical,EV stock,Cars,BEV,2018,Vehicles,5200.0,40850.0,331.0,,716.0,94.8,,,1791.0,6.0,120.0,64297.0
Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800.0,50339.0,,8.61,,,86.0,260.61,1634.0,,,75436.0
Australia,Historical,EV charging points,EV,Publicly available fast,2018,charging points,61.0,75217.0,141.0,3.81,1470.0,82.91,40.0,283.69,1740.0,6.0,241.0,85957.0
Australia,Historical,EV charging points,EV,Publicly available slow,2018,charging points,670.0,61926.0,475.0,1.32,2400.0,456.0,90.0,189.47,1966.0,5.0,,70709.0
Australia,Historical,EV sales share,Cars,EV,2018,percent,0.419999986886978,42010.0,198.0,5.68,3611.0,285.99,,,,7.0,159.0,26340.0
Australia,Historical,EV stock share,Cars,EV,2018,percent,0.076999999582768,37779.0,496.0,3.38,,583.89,72.0,145.16,2137.0,,115.0,26221.0
Australia,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700.0,,225.0,,4654.0,418.86,46.0,,1661.0,3.0,288.0,21566.0
