region,category,parameter,mode,powertrain,year,unit,value,price,range_km,charging_time,sales_volume,co2_saved,battery_capacity,energy_efficiency,weight_kg,number_of_seats,motor_power,distance_traveled
Australia,Historical,EV stock share,Cars,EV,2011,percent,0.000390000001062,55344.66,93.89,6.77,3521.0,171.82,45.78,329.82,1597.19,4.53,204.0,50251.48
Australia,Historical,EV sales share,Cars,EV,2011,percent,0.00650000013411,64874.0,145.0,4.18,730.0,42.34,74.0,537.24,1802.0,7.0,186.0,49636.95
Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49.0,58493.0,142.0,4.76,3389.0,192.5,34.0,239.44,1369.0,6.0,284.0,50034.18
Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49.0,54672.2,517.0,10.69,1430.0,352.33,54.0,78.6,1392.0,4.0,284.0,55552.0
Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220.0,70920.0,184.0,11.57,2442.0,179.73,82.0,445.65,1395.0,4.51,294.0,5905.0
Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170.0,55879.36,579.87,8.46,5664.62,1065.5,73.0,108.88,1666.0,5.0,166.0,50170.94
Australia,Historical,EV sales share,Cars,EV,2012,percent,0.029999999329448,55719.3,156.0,4.99,3101.0,193.5,88.0,564.1,1171.0,4.0,187.57,27162.0
Australia,Historical,EV stock share,Cars,EV,2012,percent,0.002400000113994,78123.0,335.5,10.33,2534.79,307.62,58.71,242.12,1244.0,3.0,84.0,67732.0
Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80.0,55488.88,515.0,9.2,2606.4,493.38,84.0,202.94,1250.0,7.0,241.0,30761.0
Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80.0,54372.07,317.0,5.78,3134.0,397.39,54.0,170.35,1009.0,4.4,156.0,94784.0
Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100.0,31887.0,288.0,6.52,870.0,100.22,47.83,229.17,1924.0,5.0,169.0,92882.0
Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180.0,48837.0,224.0,6.36,330.0,29.57,42.0,277.46,2294.0,3.0,165.0,50765.84
Australia,Historical,EV stock share,Cars,EV,2013,percent,0.004600000102073,37193.0,370.0,6.62,2814.0,408.75,28.0,90.45,1374.0,3.0,187.41,93075.0
Australia,Historical,EV sales share,Cars,EV,2013,percent,0.034000001847744,77564.0,339.0,5.98,2548.0,345.51,41.0,120.94,1849.42,6.0,285.0,38683.0
Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190.0,57706.0,441.0,5.44,3043.0,536.79,90.0,204.08,1522.0,2.0,133.0,50094.59
Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410.0,54785.0,454.0,6.45,2864.0,512.14,61.17,141.83,1742.79,4.48,187.19,50301.78
Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780.0,70891.0,135.0,6.52,2372.0,128.09,48.4,388.57,1262.0,7.0,186.38,30289.0
Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370.0,55472.97,159.0,10.1,2005.19,127.84,61.0,383.65,2221.0,4.49,112.0,22130.0
Australia,Historical,EV sales share,Cars,EV,2014,percent,0.159999996423721,55321.57,169.0,5.33,4450.0,300.82,116.78,573.96,1207.69,3.0,233.0,64675.0
Australia,Historical,EV stock share,Cars,EV,2014,percent,0.014000000432134,45361.0,122.0,5.24,1458.16,186.95,83.0,680.33,2490.0,4.39,262.0,85495.0
Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,1100.0,50913.0,503.99,11.77,2016.0,397.41,79.0,144.95,1629.0,4.55,278.0,32812.0
Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950.0,55104.9,373.77,5.65,4694.0,659.04,57.76,211.51,1175.0,6.0,171.0,78075.0
Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000.0,41715.0,193.0,6.6,3253.0,301.34,58.93,328.59,1884.0,2.0,188.02,51209.7
Australia,Historical,EV stock,Cars,PHEV,2015,Vehicles,2100.0,37360.0,220.86,6.61,1989.0,112.18,72.0,355.49,1691.79,2.0,93.0,99033.0
Australia,Historical,EV stock share,Cars,EV,2015,percent,0.027000000700355,48253.0,107.0,5.37,4876.0,208.69,63.41,280.37,1567.0,5.0,159.0,51813.0
Australia,Historical,EV sales share,Cars,EV,2015,percent,0.200000002980232,44440.0,344.0,11.92,2697.85,287.27,77.0,223.84,1517.0,6.0,269.0,51030.49
Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760.0,57685.0,491.0,8.16,2745.43,531.22,63.38,124.34,1724.82,3.0,187.51,25518.0
Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,1500.0,53714.01,348.0,6.51,524.0,47.39,55.25,219.16,1372.0,3.0,185.0,92281.0
Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200.0,44777.0,435.2,6.51,2628.52,432.96,91.0,246.61,1837.35,4.42,134.0,92966.0
Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670.0,56198.03,241.7,6.54,3522.0,338.11,32.0,133.33,1869.0,5.0,188.11,6276.0
Australia,Historical,EV sales share,Cars,EV,2016,percent,0.150000005960464,49278.0,330.0,6.46,306.0,40.39,54.27,263.64,1343.0,3.0,187.35,31821.0
Australia,Historical,EV stock share,Cars,EV,2016,percent,0.037000000476837,41226.0,304.61,6.63,4259.0,537.66,59.4,253.93,1546.0,7.0,188.31,51225.38
Australia,Historical,EV stock,Cars,PHEV,2016,Vehicles,2800.0,62894.0,321.0,6.5,3098.54,364.01,80.0,249.22,1946.84,5.0,185.95,83948.0
Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700.0,35728.0,437.0,10.21,2635.49,447.41,29.0,36.93,1431.0,7.0,255.0,25427.0
Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100.0,71586.0,295.0,5.45,4559.0,537.96,75.0,254.24,1192.0,2.0,171.0,30167.0
Australia,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900.0,47182.0,399.02,6.56,3493.0,500.2,53.65,173.18,1153.0,6.0,131.0,14346.0
Australia,Historical,EV stock share,Cars,EV,2017,percent,0.052000001072884,56170.75,-85.55,6.58,3448.0,151.71,91.0,827.27,1635.47,6.0,251.0,8549.0
Australia,Historical,EV sales share,Cars,EV,2017,percent,0.259999990463257,54120.7,349.8,6.42,1808.0,282.81,61.0,196.99,2284.0,5.0,180.0,86308.0
Australia,Historical,EV charging points,EV,Publicly available fast,2017,charging points,40.0,54966.77,536.0,4.61,2189.49,457.74,88.0,164.18,1615.0,3.0,187.04,50302.33
Australia,Historical,EV charging points,EV,Publicly available slow,2017,charging points,440.0,46786.0,400.74,8.21,504.0,77.82,48.64,150.26,1164.0,2.0,248.0,50909.61
Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200.0,55671.8,476.0,11.21,4933.0,939.24,48.9,115.55,1970.12,2.0,268.0,50198.67
Australia,Historical,EV stock,Cars,BEV,2017,Vehicles,3400.0,68928.0,154.0,6.99,3586.0,220.9,30.05,220.78,1148.0,3.0,81.0,64177.0
Australia,Historical,EV stock,Cars,BEV,2018,Vehicles,5200.0,54299.82,395.0,6.41,716.0,144.25,58.38,178.51,1772.71,4.49,120.0,64297.0
Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800.0,54574.41,318.18,8.61,2561.33,321.4,62.81,260.61,1634.0,4.46,186.56,75436.0
Australia,Historical,EV charging points,EV,Publicly available fast,2018,charging points,61.0,75217.0,141.0,3.81,1470.0,-18.06,40.0,283.69,1740.0,6.0,241.0,85957.0
Australia,Historical,EV charging points,EV,Publicly available slow,2018,charging points,670.0,61926.0,475.0,1.32,2400.0,456.0,90.0,189.47,1966.0,5.0,186.18,70709.0
Australia,Historical,EV sales share,Cars,EV,2018,percent,0.419999986886978,55362.28,198.0,5.68,3611.0,285.99,59.02,298.66,1614.82,7.0,159.0,50248.2
Australia,Historical,EV stock share,Cars,EV,2018,percent,0.076999999582768,37779.0,496.0,3.38,2824.77,583.89,69.88,145.16,2137.0,4.5,188.8,26221.0
Australia,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700.0,56202.05,225.0,6.68,4654.0,418.86,46.0,187.92,1661.0,3.0,288.0,21566.0
Australia,Historical,EV sales,Cars,PHEV,2018,Vehicles,1800.0,59820.0,401.36,10.43,1868.0,268.24,50.0,139.28,1243.0,4.0,128.0,88457.0
Australia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2900.0,55111.94,410.0,6.59,2615.64,368.75,47.0,114.63,1091.0,4.51,251.0,50286.07
Australia,Historical,EV stock,Cars,PHEV,2019,Vehicles,8600.0,75517.0,285.0,4.59,2865.0,326.61,58.81,255.94,1714.21,3.0,287.0,48799.0
Australia,Historical,EV stock share,Cars,EV,2019,percent,0.140000000596046,40674.0,497.0,2.93,-445.24,46.72,72.0,144.87,1690.4,4.55,201.0,45354.0
Australia,Historical,EV sales share,Cars,EV,2019,percent,1.20000004768372,50543.0,425.0,6.45,1648.0,280.16,79.0,185.88,1942.3,4.0,187.17,50621.73
Australia,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1700.0,44842.0,553.79,2.51,1627.0,359.24,86.0,155.8,1129.0,5.0,187.38,60405.0
Australia,Historical,EV sales,Cars,BEV,2019,Vehicles,6300.0,36934.0,421.27,6.53,2687.69,453.42,48.0,109.59,1761.05,4.0,188.28,51555.2
Australia,Historical,EV stock,Cars,BEV,2019,Vehicles,12000.0,56068.72,197.0,6.66,4078.0,321.35,64.0,324.87,1337.0,5.0,187.89,21816.0
Australia,Historical,EV stock,Cars,BEV,2020,Vehicles,17000.0,39063.0,532.0,5.65,4338.68,831.84,65.59,118.42,1755.69,6.0,281.0,51373.8
Australia,Historical,EV sales,Cars,BEV,2020,Vehicles,5200.0,78827.0,346.12,6.41,1419.94,171.27,46.7,140.68,1756.34,4.6,273.0,48646.41
Australia,Historical,EV charging points,EV,Publicly available slow,2020,charging points,2300.0,54976.85,106.0,9.61,2161.0,308.33,89.0,839.62,1847.0,7.0,202.0,50302.07
Australia,Historical,EV sales share,Cars,EV,2020,percent,1.10000002384186,54912.78,430.47,2.32,2031.9,351.83,82.0,206.03,2021.0,4.52,186.98,50308.03
Australia,Historical,EV stock share,Cars,EV,2020,percent,0.180000007152557,67286.0,346.97,11.6,1581.7,203.84,25.0,54.95,1738.84,7.0,185.15,94136.0
Australia,Historical,EV stock,Cars,PHEV,2020,Vehicles,10000.0,55060.75,220.0,6.55,2543.31,193.91,32.0,145.45,1897.13,4.58,206.0,50288.85
Australia,Historical,EV sales,Cars,PHEV,2020,Vehicles,1700.0,49289.0,420.69,6.46,241.0,85.7,57.07,165.85,1489.0,7.0,211.0,50738.25
Australia,Historical,EV sales,Cars,PHEV,2021,Vehicles,3400.0,46039.0,371.39,6.65,3605.0,526.31,55.0,167.68,1755.24,2.0,218.0,65160.0
Australia,Historical,EV stock,Cars,PHEV,2021,Vehicles,14000.0,55903.98,517.0,11.08,2834.18,579.04,64.0,123.79,1670.35,2.0,187.95,11676.0
Australia,Historical,EV stock,Cars,FCEV,2021,Vehicles,44.0,77833.0,547.4,11.09,3667.0,758.34,97.0,212.47,2041.0,5.0,294.0,48670.93
Australia,Historical,EV stock share,Cars,EV,2021,percent,0.319999992847443,39358.0,485.0,6.87,3007.69,539.51,44.0,90.72,1055.0,6.0,188.23,51381.55
Australia,Historical,EV sales share,Cars,EV,2021,percent,2.79999995231628,34908.0,460.0,7.25,639.0,209.48,54.21,93.48,2086.0,4.53,93.0,10632.0
Australia,Historical,EV charging points,EV,Publicly available fast,2021,charging points,320.0,66088.0,17.91,6.61,3644.0,206.37,79.0,617.19,1592.76,4.36,185.49,97835.0
Australia,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2000.0,62955.0,238.03,6.37,1316.0,128.92,56.0,294.74,2348.0,2.0,223.0,49758.01
Australia,Historical,EV sales,Cars,BEV,2021,Vehicles,17000.0,32787.0,463.0,6.52,3817.0,706.91,59.0,127.43,1953.99,4.0,170.0,88179.0
Australia,Historical,EV stock,Cars,BEV,2021,Vehicles,34000.0,73191.0,296.0,6.36,1839.0,193.95,45.41,179.05,1878.0,2.0,87.0,5389.0
Australia,Historical,EV sales,Cars,FCEV,2021,Vehicles,44.0,41908.0,224.0,10.08,1624.0,145.51,90.0,401.79,1299.0,6.0,187.68,51229.48
Australia,Historical,EV sales,Cars,FCEV,2022,Vehicles,15.0,54837.0,366.6,3.42,1201.8,105.29,61.0,186.54,1288.0,4.55,187.74,6200.0
Australia,Historical,EV stock,Cars,BEV,2022,Vehicles,67000.0,55954.0,525.0,6.38,3699.0,776.79,74.0,140.95,2069.5,4.42,188.0,81159.0
Australia,Historical,EV sales,Cars,BEV,2022,Vehicles,33000.0,54265.82,515.0,10.29,2441.68,542.07,36.0,69.9,1270.0,4.0,91.0,89714.0
Australia,Historical,EV sales share,Cars,EV,2022,percent,5.09999990463257,41478.0,216.35,6.57,3802.0,427.81,64.0,342.25,2035.0,4.43,139.0,69215.0
Australia,Historical,EV stock,Cars,FCEV,2022,Vehicles,100.0,77185.0,526.02,2.57,4269.0,775.25,73.0,160.79,1289.0,4.0,231.0,16017.0
Australia,Historical,EV stock,Cars,PHEV,2022,Vehicles,21000.0,37807.0,90.64,6.55,1564.0,85.08,99.0,727.94,1696.09,2.0,214.0,91789.0
Australia,Historical,EV sales,Cars,PHEV,2022,Vehicles,5900.0,54611.62,262.0,6.48,2936.0,329.98,92.0,396.9,2105.0,4.42,113.0,77544.0
Australia,Historical,EV stock share,Cars,EV,2022,percent,0.589999973773956,39087.0,343.35,6.48,467.86,13.95,37.76,96.45,1774.61,2.0,84.0,34177.0
Australia,Historical,EV charging points,EV,Publicly available fast,2022,charging points,470.0,54752.69,194.0,6.52,3320.99,324.68,36.0,185.57,2281.0,4.55,185.0,75083.0
Australia,Historical,EV charging points,EV,Publicly available slow,2022,charging points,2100.0,31431.0,242.86,10.9,1030.0,58.92,42.0,293.71,1390.0,4.0,220.0,51974.24
Australia,Historical,EV charging points,EV,Publicly available fast,2023,charging points,660.0,76745.0,371.23,2.41,2645.0,408.39,60.0,189.77,1988.0,6.0,132.0,43565.0
Australia,Historical,EV charging points,EV,Publicly available slow,2023,charging points,2100.0,55997.04,579.0,6.35,3136.0,676.84,63.01,52.19,1752.52,7.0,86.0,10732.0
Australia,Historical,EV stock share,Cars,EV,2023,percent,1.20000004768372,54428.85,81.84,6.51,1761.0,89.46,80.0,629.92,1781.0,6.0,278.0,72522.0
Australia,Historical,EV sales,Cars,PHEV,2023,Vehicles,11000.0,54611.79,225.65,6.5,2599.77,272.59,58.0,320.44,1984.0,4.48,186.58,73233.0
Australia,Historical,EV stock,Cars,PHEV,2023,Vehicles,31000.0,60289.0,424.0,7.35,2284.0,387.37,83.0,303.83,1095.0,3.0,272.0,49929.78
Australia,Historical,EV stock,Cars,FCEV,2023,Vehicles,65.0,32631.0,556.0,4.61,1914.0,466.9,59.72,80.94,1366.0,4.5,282.0,69020.0
Australia,Historical,EV sales share,Cars,EV,2023,percent,12.0,46476.0,249.0,3.41,1428.88,28.19,91.0,447.58,1046.0,4.0,252.0,50914.26
Australia,Historical,EV sales,Cars,BEV,2023,Vehicles,87000.0,54068.19,269.6,6.47,2140.33,235.7,28.0,133.58,2015.0,6.0,80.0,94486.0
Australia,Historical,EV stock,Cars,BEV,2023,Vehicles,150000.0,54294.72,368.0,4.71,1454.0,146.6,66.0,179.35,1417.0,4.53,231.0,75234.0
Australia,Historical,EV sales,Cars,FCEV,2023,Vehicles,6.0,55270.62,516.69,4.33,4752.0,763.53,82.0,148.01,1141.0,2.0,193.0,70227.0
Austria,Historical,EV stock,Cars,BEV,2010,Vehicles,350.0,66635.0,274.0,1.19,3706.0,406.18,41.36,186.13,1381.0,5.0,252.0,96605.0
Austria,Historical,EV stock share,Cars,EV,2010,percent,0.00789999961853,42357.0,432.0,11.4,2665.34,386.39,74.0,171.3,1376.0,4.0,187.47,72678.0
Austria,Historical,EV stock share,Cars,EV,2011,percent,0.021999999880791,64589.0,391.66,10.2,1715.0,298.41,63.07,209.2,1768.97,4.49,186.03,61985.0
Austria,Historical,EV charging points,EV,Publicly available fast,2011,charging points,0.100000001490116,52279.0,363.0,6.86,1280.0,135.13,85.0,234.16,1967.54,4.0,228.0,23990.0
Austria,Historical,EV charging points,EV,Publicly available slow,2011,charging points,0.100000001490116,30440.0,287.0,9.19,2976.0,341.64,56.0,200.79,2230.0,3.0,187.69,99293.0
Austria,Historical,EV stock,Cars,BEV,2011,Vehicles,990.0,75596.0,396.0,6.14,3558.0,547.03,68.0,209.96,1727.02,4.0,203.0,64873.0
Austria,Historical,EV stock,Cars,BEV,2012,Vehicles,1400.0,76093.0,563.0,6.91,1312.0,295.46,70.0,-6.58,2146.0,4.64,185.97,26602.0
Austria,Historical,EV stock,Cars,PHEV,2012,Vehicles,140.0,52609.0,304.83,7.6,1197.0,96.72,95.0,388.53,1754.0,3.0,244.0,64991.0
Austria,Historical,EV charging points,EV,Publicly available fast,2012,charging points,0.100000001490116,54974.39,338.0,2.04,2258.31,321.91,40.0,134.35,1965.0,7.0,291.0,50299.69
Austria,Historical,EV charging points,EV,Publicly available slow,2012,charging points,0.100000001490116,54877.45,421.25,6.4,3532.0,614.57,54.66,101.15,2466.0,7.0,186.88,70370.0
Austria,Historical,EV stock share,Cars,EV,2012,percent,0.032999999821186,61993.0,594.0,4.94,4623.0,907.86,59.0,18.59,1747.0,5.0,119.0,59486.0
Austria,Historical,EV stock share,Cars,EV,2013,percent,0.052999999374151,54972.05,417.0,3.16,2294.0,382.64,95.0,278.24,2139.0,4.46,120.0,50462.0
Austria,Historical,EV sales share,Cars,EV,2013,percent,0.200000002980232,56945.0,371.0,2.74,4124.0,612.0,85.0,229.11,2194.9,5.0,207.0,78641.0
Austria,Historical,EV charging points,EV,Publicly available fast,2013,charging points,0.100000001490116,72924.0,295.0,6.47,2517.19,296.89,61.0,260.26,1747.18,5.0,184.84,99519.0
Austria,Historical,EV charging points,EV,Publicly available slow,2013,charging points,0.100000001490116,55530.73,364.0,6.52,4367.03,602.06,83.0,228.02,2014.0,3.0,187.43,50219.89
Austria,Historical,EV stock,Cars,PHEV,2013,Vehicles,410.0,47546.0,286.0,8.48,3864.0,481.59,47.0,209.04,1736.47,7.0,261.0,84809.0
Austria,Historical,EV stock,Cars,BEV,2013,Vehicles,2100.0,42250.0,465.6,3.4,3194.11,573.41,66.0,147.65,1798.23,7.0,199.0,56591.0
Austria,Historical,EV sales,Cars,BEV,2013,Vehicles,650.0,32505.0,112.0,4.16,1372.0,61.47,80.0,714.29,1197.64,5.0,189.16,5977.0
Austria,Historical,EV sales,Cars,BEV,2014,Vehicles,1700.0,54562.16,192.0,2.01,99.0,-200.45,49.77,331.8,1067.0,4.48,145.0,45591.0
Austria,Historical,EV stock,Cars,BEV,2014,Vehicles,3400.0,42213.0,504.0,6.53,2649.0,534.04,39.0,9.28,1704.22,6.0,262.0,98576.0
Austria,Historical,EV sales,Cars,FCEV,2014,Vehicles,6.0,42344.0,505.0,6.52,1743.0,352.09,58.0,114.85,1278.0,6.0,89.0,92701.0
Austria,Historical,EV stock,Cars,FCEV,2014,Vehicles,3.0,54920.39,548.0,2.23,2051.94,492.98,53.0,36.31,1726.18,4.52,215.0,50307.76
Austria,Historical,EV stock,Cars,PHEV,2014,Vehicles,780.0,54989.8,342.76,6.51,2277.0,305.12,32.0,95.52,1748.66,7.0,271.0,50299.03
Austria,Historical,EV charging points,EV,Publicly available fast,2014,charging points,0.100000001490116,55081.97,176.0,9.52,2632.0,156.75,21.0,119.32,1955.0,6.0,238.0,50285.57
Austria,Historical,EV charging points,EV,Publicly available slow,2014,charging points,0.100000001490116,56810.0,470.0,7.36,1989.12,390.66,73.0,155.32,1862.0,4.49,186.13,84908.0
Austria,Historical,EV sales share,Cars,EV,2014,percent,0.569999992847443,60079.0,409.12,1.6,3233.43,575.71,45.0,110.02,2231.0,2.0,186.92,49922.34
Austria,Historical,EV stock share,Cars,EV,2014,percent,0.089000001549721,53883.56,312.31,4.93,567.0,53.98,94.0,394.96,1926.0,2.0,245.0,83001.0
Austria,Historical,EV stock share,Cars,EV,2015,percent,0.140000000596046,30681.0,486.94,3.04,3788.06,656.08,54.0,120.27,1124.0,4.4,188.61,68012.0
Austria,Historical,EV sales share,Cars,EV,2015,percent,0.899999976158142,54436.81,298.0,4.53,3311.0,394.67,35.0,117.45,2345.0,4.0,221.0,90162.0
